mahalle_id,mahalle_adi,ilce_id,ilce_adi,il_id,il_adi
1643,OĞUZLAR MAHALLESİ,1922,ETİMESGUT,6,ANKARA
183240,ORHUN MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1631,PİYADE MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1632,SÜVARİ MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1633,ŞEHİT OSMAN AVCI MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1908,ŞEHİTALİ MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1634,ŞEKER MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1635,ŞEYH ŞAMİL MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1636,TOPÇU MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1637,TUNAHAN MAHALLESİ,1922,ETİMESGUT,6,ANKARA
183242,TURKUAZ MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1641,YAPRACIK MAHALLESİ,1922,ETİMESGUT,6,ANKARA
99781,YAVUZ SELİM MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1638,YEŞİLOVA MAHALLESİ,1922,ETİMESGUT,6,ANKARA
1910,YUKARIYURTÇU MAHALLESİ,1922,ETİMESGUT,6,ANKARA
178527,AFŞAR MAHALLESİ,1427,KALECİK,6,ANKARA
2135,AHİKEMALŞENYURT MAHALLESİ,1427,KALECİK,6,ANKARA
2136,AHİLER YENİCE MAHALLESİ,1427,KALECİK,6,ANKARA
2152,AKCATAŞ MAHALLESİ,1427,KALECİK,6,ANKARA
2153,AKKAYNAK MAHALLESİ,1427,KALECİK,6,ANKARA
178507,AKKUZULU MAHALLESİ,1427,KALECİK,6,ANKARA
178509,AKTEPE MAHALLESİ,1427,KALECİK,6,ANKARA
178523,ALİBEYLİ MAHALLESİ,1427,KALECİK,6,ANKARA
178525,ALTINTAŞ MAHALLESİ,1427,KALECİK,6,ANKARA
2148,ARKBÜRK MAHALLESİ,1427,KALECİK,6,ANKARA
178563,BEYKAVAĞI MAHALLESİ,1427,KALECİK,6,ANKARA
178579,BUĞRA MAHALLESİ,1427,KALECİK,6,ANKARA
2137,CUMA SARAY MAHALLESİ,1427,KALECİK,6,ANKARA
178521,ÇANDIR MAHALLESİ,1427,KALECİK,6,ANKARA
2138,ÇANŞA KALE MAHALLESİ,1427,KALECİK,6,ANKARA
178529,ÇAYKAYA MAHALLESİ,1427,KALECİK,6,ANKARA
2155,ÇİFTLİKKÖY MAHALLESİ,1427,KALECİK,6,ANKARA
178531,DAĞDEMİR MAHALLESİ,1427,KALECİK,6,ANKARA
178577,DEĞİRMENKAYA MAHALLESİ,1427,KALECİK,6,ANKARA
178533,DEMİRTAŞ MAHALLESİ,1427,KALECİK,6,ANKARA
178535,ELMAPINAR MAHALLESİ,1427,KALECİK,6,ANKARA
178575,ESKİKÖY MAHALLESİ,1427,KALECİK,6,ANKARA
178565,EŞMEDERE MAHALLESİ,1427,KALECİK,6,ANKARA
178537,GÖKÇEÖREN MAHALLESİ,1427,KALECİK,6,ANKARA
178511,GÖKDERE MAHALLESİ,1427,KALECİK,6,ANKARA
2149,GÖLKÖY MAHALLESİ,1427,KALECİK,6,ANKARA
178513,GÜMÜŞPINAR MAHALLESİ,1427,KALECİK,6,ANKARA
178539,HACIKÖY MAHALLESİ,1427,KALECİK,6,ANKARA
2139,HALİLAĞA TABAKHANE MAHALLESİ,1427,KALECİK,6,ANKARA
2140,HALİTCEVRİASLANGİL MAHALLESİ,1427,KALECİK,6,ANKARA
178541,HANÇILI MAHALLESİ,1427,KALECİK,6,ANKARA
2156,HASAYAZ MAHALLESİ,1427,KALECİK,6,ANKARA
2157,KARAHÖYÜK MAHALLESİ,1427,KALECİK,6,ANKARA
178515,KARALAR MAHALLESİ,1427,KALECİK,6,ANKARA
178543,KARATEPE MAHALLESİ,1427,KALECİK,6,ANKARA
178545,KARKIN MAHALLESİ,1427,KALECİK,6,ANKARA
178517,KEKLİCEK MAHALLESİ,1427,KALECİK,6,ANKARA
178547,KILÇAK MAHALLESİ,1427,KALECİK,6,ANKARA
178549,KINIK MAHALLESİ,1427,KALECİK,6,ANKARA
2158,KIZILKAYA MAHALLESİ,1427,KALECİK,6,ANKARA
178567,KOYUNBABA MAHALLESİ,1427,KALECİK,6,ANKARA
178569,KUYUCAK MAHALLESİ,1427,KALECİK,6,ANKARA
178551,MAHMUTLAR MAHALLESİ,1427,KALECİK,6,ANKARA
178519,SAMANLIK MAHALLESİ,1427,KALECİK,6,ANKARA
178553,SATILAR MAHALLESİ,1427,KALECİK,6,ANKARA
178571,ŞEMSETTİN MAHALLESİ,1427,KALECİK,6,ANKARA
2150,ŞEYHMAHMUT MAHALLESİ,1427,KALECİK,6,ANKARA
2159,TAVŞANCIK MAHALLESİ,1427,KALECİK,6,ANKARA
178555,TİLKİ MAHALLESİ,1427,KALECİK,6,ANKARA
178557,UYURCA MAHALLESİ,1427,KALECİK,6,ANKARA
2151,YALIMKÖY MAHALLESİ,1427,KALECİK,6,ANKARA
2160,YENİÇÖTE MAHALLESİ,1427,KALECİK,6,ANKARA
2146,YENİDOĞAN YEŞİLYURT MAHALLESİ,1427,KALECİK,6,ANKARA
178573,YEŞİLÖZ MAHALLESİ,1427,KALECİK,6,ANKARA
2161,YILANLI MAHALLESİ,1427,KALECİK,6,ANKARA
178559,YURTYENİCE MAHALLESİ,1427,KALECİK,6,ANKARA
178561,YÜZBEY MAHALLESİ,1427,KALECİK,6,ANKARA
2063,ABADAN MAHALLESİ,2034,PURSAKLAR,6,ANKARA
139854,ALTINOVA MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1727,AYYILDIZ MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1728,FATİH MAHALLESİ,2034,PURSAKLAR,6,ANKARA
2065,KARAKÖY MAHALLESİ,2034,PURSAKLAR,6,ANKARA
2066,KARŞIYAKA MAHALLESİ,2034,PURSAKLAR,6,ANKARA
2068,KÖSRELİKKIZIĞI MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1729,MERKEZ MAHALLESİ,2034,PURSAKLAR,6,ANKARA
139852,MİMAR SİNAN MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1510,PEÇENEK MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1742,SARAY CUMHURİYET MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1739,SARAY FATİH MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1740,SARAY GÜMÜŞOLUK MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1741,SARAY OSMANGAZİ MAHALLESİ,2034,PURSAKLAR,6,ANKARA
2061,SİRKELİ YEŞİLOVA MAHALLESİ,2034,PURSAKLAR,6,ANKARA
2062,SİRKELİ YEŞİLYURT MAHALLESİ,2034,PURSAKLAR,6,ANKARA
139850,TEVFİK İLERİ MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1512,YENİ KARAKÖY MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1511,YILDIRIM BEYAZIT MAHALLESİ,2034,PURSAKLAR,6,ANKARA
1730,YUNUS EMRE MAHALLESİ,2034,PURSAKLAR,6,ANKARA
2067,YUVA MAHALLESİ,2034,PURSAKLAR,6,ANKARA
140727,AĞDACI MAHALLESİ,1172,MERKEZ,74,BARTIN
94080,AHMETPAŞA KÖYÜ, KARAALİOĞLU MEVKİİ,1172,MERKEZ,74,BARTIN
94082,AHMETPAŞA KÖYÜ, KARAKADI MEVKİİ,1172,MERKEZ,74,BARTIN
94083,AHMETPAŞA KÖYÜ, KINALIOĞLU MEVKİİ,1172,MERKEZ,74,BARTIN
94081,AHMETPAŞA KÖYÜ, K-KIRAN MEVKİİ,1172,MERKEZ,74,BARTIN
94079,AHMETPAŞA KÖYÜ, MERKEZ MEVKİİ,1172,MERKEZ,74,BARTIN
94461,AKAĞAÇ KÖYÜ, AŞAĞI MEVKİİ,1172,MERKEZ,74,BARTIN
94463,AKAĞAÇ KÖYÜ, GÖCÜ MEVKİİ,1172,MERKEZ,74,BARTIN
94462,AKAĞAÇ KÖYÜ, LAZLAR MEVKİİ,1172,MERKEZ,74,BARTIN
94464,AKAĞAÇ KÖYÜ, USLULAR MEVKİİ,1172,MERKEZ,74,BARTIN
94460,AKAĞAÇ KÖYÜ, YUKARI MEVKİİ,1172,MERKEZ,74,BARTIN
94085,AKBABA KÖYÜ, ÇİTOĞLU MEVKİİ,1172,MERKEZ,74,BARTIN
94088,AKBABA KÖYÜ, MAZMOĞLU MEVKİİ,1172,MERKEZ,74,BARTIN
94084,AKBABA KÖYÜ, MERKEZ  MEVKİİ,1172,MERKEZ,74,BARTIN
94087,AKBABA KÖYÜ, OSMAN MEVKİİ,1172,MERKEZ,74,BARTIN
94086,AKBABA KÖYÜ, TEKKE MEVKİİ,1172,MERKEZ,74,BARTIN
94472,AKBAŞ KÖYÜ, AĞBAŞI MEVKİİ,1172,MERKEZ,74,BARTIN
94470,AKBAŞ KÖYÜ, CIDDIMOĞLU MEVKİİ,1172,MERKEZ,74,BARTIN
94469,AKBAŞ KÖYÜ, FIRDAN MEVKİİ,1172,MERKEZ,74,BARTIN
94471,AKBAŞ KÖYÜ, GARTOSMANLAR MEVKİİ,1172,MERKEZ,74,BARTIN
94474,AKBAŞ KÖYÜ, GÜMMELLER MEVKİİ,1172,MERKEZ,74,BARTIN
94473,AKBAŞ KÖYÜ, KARAOTLU MEVKİİ,1172,MERKEZ,74,BARTIN
94468,AKBAŞ KÖYÜ, KIŞLA MEVKİİ,1172,MERKEZ,74,BARTIN
94466,AKBAŞ KÖYÜ, OSMANBEYOĞLU MEVKİİ,1172,MERKEZ,74,BARTIN
94467,AKBAŞ KÖYÜ, SAZLIK MEVKİİ,1172,MERKEZ,74,BARTIN
94465,AKBAŞ KÖYÜ, TOKLUOĞLU MEVKİİ,1172,MERKEZ,74,BARTIN
